SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
PAST SALE,,Condo/Co-op,1331 Brickell Bay Dr #908,Miami,FL,33131,1000000,2,2.0,,1529,,2004,,654,,,,,https://www.redfin.com/FL/Miami/1331-Brickell-Bay-Dr-33131/unit-908/home/43312447,,,N,Y,25.7599996,-80.1891629
PAST SALE,,Condo/Co-op,1331 Brickell Bay Dr #1003,Miami,FL,33131,1650000,2,3.0,,1730,,2004,,954,,,,,https://www.redfin.com/FL/Miami/1331-Brickell-Bay-Dr-33131/unit-1003/home/43301708,,,N,Y,25.7599996,-80.1891629
PAST SALE,March-28-2023,Condo/Co-op,1331 Brickell Bay Dr #3011,Miami,FL,33131,4168000,3,4.5,JADE RESIDENCES  BRICKELL,3415,,2004,,1220,4345,Sold,,,https://www.redfin.com/FL/Miami/1331-Brickell-Bay-Dr-33131/unit-3011/home/43318442,MARMLS,A11339537,N,Y,25.7599996,-80.1891629
PAST SALE,June-6-2022,Condo/Co-op,1331 Brickell Bay Dr #1504,Miami,FL,33131,590000,1,1.0,JADE RESIDENCES AT BRICKE,895,,2004,,659,1038,Sold,,,https://www.redfin.com/FL/Miami/1331-Brickell-Bay-Dr-33131/unit-1504/home/43315239,MARMLS,A11199335,N,Y,25.7599996,-80.1891629
PAST SALE,January-24-2025,Condo/Co-op,1331 Brickell Bay Dr #3611,Miami,FL,33131,4400000,4,4.5,JADE RESIDENCES BRICKELL,3415,,2004,,1288,4750,Sold,,,https://www.redfin.com/FL/Miami/1331-Brickell-Bay-Dr-33131/unit-3611/home/43319453,MARMLS,A11698862,N,Y,25.7599996,-80.1891629
PAST SALE,,Condo/Co-op,1331 Brickell Bay Dr #2011,Miami,FL,33131,1750000,2,2.0,,1878,,2004,,932,,,,,https://www.redfin.com/FL/Miami/1331-Brickell-Bay-Dr-33131/unit-2011/home/43320960,,,N,Y,25.7599996,-80.1891629
PAST SALE,December-20-2022,Condo/Co-op,1331 Brickell Bay Dr #904,Miami,FL,33131,575000,1,1.0,JADE RESIDENCES AT BRICKE,895,,2004,,642,1037,Sold,,,https://www.redfin.com/FL/Miami/1331-Brickell-Bay-Dr-33131/unit-904/home/43473900,MARMLS,A11294784,N,Y,25.7599996,-80.1891629
PAST SALE,May-9-2023,Condo/Co-op,1331 Brickell Bay Dr #3801,Miami,FL,33131,3800000,4,4.5,JADE RESIDENCES AT BRICKE,3415,,2004,,1113,4345,Sold,,,https://www.redfin.com/FL/Miami/1331-Brickell-Bay-Dr-33131/unit-3801/home/43315260,MARMLS,A11353035,N,Y,25.7599996,-80.1891629
PAST SALE,July-29-2022,Condo/Co-op,1331 Brickell Bay Dr #4101,Miami,FL,33131,4350000,3,3.5,JADE RESIDENCES AT BRICKE,3415,,2004,,1274,3961,Sold,,,https://www.redfin.com/FL/Miami/1331-Brickell-Bay-Dr-33131/unit-4101/home/43317310,MARMLS,A11228387,N,Y,25.7599996,-80.1891629
